duration_seconds,viewCount,likeCount,commentCount,contentDetails.duration,publishTime.1,publishTime.2,View Count (in millions)
729,32090178,2125183,73593,0.00:12:09,12/18/2021,4:00:00 PM,32.0902
725,34223993,2280759,80603,0.00:12:05,12/16/2021,4:00:00 PM,34.224
662,43165039,2416595,90170,0.00:11:02,12/10/2021,4:30:02 PM,43.165
662,43165039,2416595,90170,0.00:11:02,12/10/2021,4:30:02 PM,43.165
1542,178763228,12250732,571946,0.00:25:42,11/24/2021,4:00:01 PM,178.7632
1542,178763228,12250732,571946,0.00:25:42,11/24/2021,4:00:01 PM,178.7632
295,52448898,4132687,177576,0.00:04:55,10/29/2021,3:59:43 PM,52.4489
943,52868114,2641598,116591,0.00:15:43,10/23/2021,4:00:01 PM,52.8681
482,50008942,2359606,120621,0.00:08:02,9/26/2021,4:00:06 PM,50.0089
760,57633714,2774047,99670,0.00:12:40,9/4/2021,4:00:07 PM,57.6337
1166,95809336,3482783,94926,0.00:19:26,8/31/2021,4:01:03 PM,95.8093
1000,71993932,2558283,88986,0.00:16:40,8/7/2021,7:00:03 PM,71.9939
645,59015812,1997674,67953,0.00:10:45,7/24/2021,4:00:59 PM,59.0158
645,59015812,1997674,67953,0.00:10:45,7/24/2021,4:00:59 PM,59.0158
694,55202068,2004164,78869,0.00:11:34,7/10/2021,4:00:09 PM,55.2021
694,55202068,2004164,78869,0.00:11:34,7/10/2021,4:00:09 PM,55.2021
754,79464833,2214006,94886,0.00:12:34,6/26/2021,4:00:02 PM,79.4648
904,76492851,2378693,84362,0.00:15:04,6/12/2021,4:00:01 PM,76.4929
968,64846876,2183523,87041,0.00:16:08,6/1/2021,4:00:02 PM,64.8469
861,84717282,2876493,128922,0.00:14:21,4/24/2021,4:00:00 PM,84.7173
1014,84989496,2449214,121200,0.00:16:54,4/17/2021,4:00:00 PM,84.9895
849,109152270,3125932,133872,0.00:14:09,4/10/2021,5:00:07 PM,109.1523
849,109152270,3125932,133872,0.00:14:09,4/10/2021,5:00:07 PM,109.1523
709,101745632,3110824,162796,0.00:11:49,4/3/2021,4:00:01 PM,101.7456
760,154322660,5379027,233576,0.00:12:40,3/27/2021,4:00:04 PM,154.3227
677,77042095,2576744,118980,0.00:11:17,3/13/2021,4:00:02 PM,77.0421
649,73190107,2661083,115383,0.00:10:49,3/6/2021,4:00:02 PM,73.1901
719,43238893,2651923,155975,0.00:11:59,2/13/2021,4:00:01 PM,43.2389
797,99700649,3496697,163287,0.00:13:17,1/22/2021,4:00:03 PM,99.7006
854,74045114,3640655,187773,0.00:14:14,1/9/2021,4:01:25 PM,74.0451
854,74045114,3640655,187773,0.00:14:14,1/9/2021,4:01:25 PM,74.0451
391,57131190,4707358,297513,0.00:06:31,1/1/2021,4:00:03 PM,57.1312
748,54785723,2158821,111013,0.00:12:28,12/23/2020,4:00:06 PM,54.7857
639,93929098,3525848,726861,0.00:10:39,12/19/2020,5:00:03 PM,93.9291
858,91681798,4286817,170811,0.00:14:18,12/15/2020,4:00:11 PM,91.6818
843,103902204,2471218,92745,0.00:14:03,11/28/2020,4:00:04 PM,103.9022
911,145527042,2762425,83853,0.00:15:11,11/14/2020,4:00:02 PM,145.527
911,145527042,2762425,83853,0.00:15:11,11/14/2020,4:00:02 PM,145.527
694,85113492,2833891,187948,0.00:11:34,10/29/2020,4:17:44 PM,85.1135
694,85113492,2833891,187948,0.00:11:34,10/29/2020,4:17:44 PM,85.1135
851,62936687,2531831,83065,0.00:14:11,10/24/2020,4:00:01 PM,62.9367
625,95079717,2612376,116266,0.00:10:25,10/10/2020,4:00:31 PM,95.0797
128,54420826,4020866,202949,0.00:02:08,10/4/2020,4:00:54 PM,54.4208
805,84145733,2036903,72896,0.00:13:25,9/26/2020,4:40:02 PM,84.1457
1031,87102771,3128951,178670,0.00:17:11,9/19/2020,4:00:02 PM,87.1028
382,32929921,2155684,98498,0.00:06:22,9/17/2020,4:00:05 PM,32.9299
1336,119576253,3719348,225860,0.00:22:16,8/15/2020,4:00:02 PM,119.5763
697,76692327,2751454,127362,0.00:11:37,8/13/2020,4:00:07 PM,76.6923
613,58842218,2143711,83396,0.00:10:13,8/8/2020,4:00:02 PM,58.8422
483,99174289,2642315,125468,0.00:08:03,8/1/2020,4:00:02 PM,99.1743
964,104797858,3343738,190567,0.00:16:04,7/23/2020,4:00:11 PM,104.7979
964,104797858,3343738,190567,0.00:16:04,7/23/2020,4:00:11 PM,104.7979
669,106594059,3641646,169970,0.00:11:09,7/3/2020,5:00:20 PM,106.5941
897,74412826,2290401,182264,0.00:14:57,6/25/2020,4:00:00 PM,74.4128
836,81391428,2235151,73663,0.00:13:56,6/6/2020,4:00:01 PM,81.3914
952,158424466,3109009,106104,0.00:15:52,5/30/2020,4:10:08 PM,158.4245
952,158424466,3109009,106104,0.00:15:52,5/30/2020,4:10:08 PM,158.4245
992,34770962,1287683,67596,0.00:16:32,5/7/2020,3:59:59 PM,34.771
812,65825475,2243567,60701,0.00:13:32,4/30/2020,4:00:08 PM,65.8255
1680,42637553,1566528,57088,0.00:28:00,4/25/2020,9:36:25 PM,42.6376
719,102795467,2080395,77842,0.00:11:59,4/11/2020,4:00:00 PM,102.7955
719,102795467,2080395,77842,0.00:11:59,4/11/2020,4:00:00 PM,102.7955
899,63756654,1933396,61076,0.00:14:59,3/21/2020,4:00:02 PM,63.7567
1121,72718526,1791848,67234,0.00:18:41,3/13/2020,4:00:04 PM,72.7185
776,127179753,2846523,104376,0.00:12:56,2/29/2020,4:00:22 PM,127.1798
923,75289471,1846059,54821,0.00:15:23,2/8/2020,4:00:02 PM,75.2895
1008,101244292,2815381,94482,0.00:16:48,2/1/2020,4:00:01 PM,101.2443
1008,101244292,2815381,94482,0.00:16:48,2/1/2020,4:00:01 PM,101.2443
818,67041958,1450713,44487,0.00:13:38,1/25/2020,4:00:01 PM,67.042
